University,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,Source
Harvard University,"50,700,000,000","50,900,000,000","53,200,000,000","50,200,000,000","49,300,000,000","47,000,000,000","44,100,000,000","42,400,000,000","44,600,000,000","43,200,000,000",https://finance.harvard.edu/endowment
Yale University,"40,700,000,000","41,400,000,000","42,300,000,000","31,200,000,000","30,300,000,000","29,400,000,000","27,200,000,000","25,400,000,000","25,600,000,000","23,900,000,000",https://investments.yale.edu/reports
Stanford University,"36,500,000,000","36,300,000,000","37,800,000,000","28,900,000,000","27,700,000,000","26,500,000,000","24,800,000,000","22,400,000,000","22,200,000,000","21,400,000,000",https://bondholder-information.stanford.edu/financials/annual-reports
Princeton University,"36,419,193,000","38,187,244,000","39,462,834,000","28,456,580,000","28,072,946,000","27,395,553,000","24,803,503,000","22,707,442,000","23,335,975,000","21,508,188,000",https://finance.princeton.edu/report-treasurer
Massachussets Institute of Technology,"23,500,000,000","24,600,000,000","27,394,000,000","18,400,000,000","17,400,000,000","16,400,000,000","14,800,000,000","13,200,000,000","13,500,000,000","12,400,000,000",https://news.mit.edu
University of Pennsylvania,"21,000,000,000","20,700,000,000","20,500,000,000","14,900,000,000","14,700,000,000","13,800,000,000","12,200,000,000","10,700,000,000","10,100,000,000","9,600,000,000",https://thedp.com
Columbia University,"13,600,000,000","13,300,000,000","14,300,000,000","11,300,000,000","11,000,000,000","10,900,000,000","10,000,000,000","9,000,000,000","9,600,000,000","9,200,000,000",https://endowment.giving.columbia.edu/endowment-performance-and-management/
Duke University,"11,600,000,000","12,100,000,000","12,700,000,000","8,500,000,000","8,600,000,000","8,500,000,000","7,900,000,000","6,800,000,000","7,300,000,000","7,000,000,000",https://giving.duke.edu/endowment/
Johns Hopkins University,"10,538,865,000","8,244,472,000","9,315,279,000","6,750,092,000","6,275,939,000","4,190,520,000","3,744,751,000","3,306,987,000","3,326,932,000","3,392,529,000",https://finance.jhu.edu/publications/annual-financial-reports/
The University of Chicago,"10,000,000,000","10,300,000,000","11,600,000,000","8,600,000,000","8,500,000,000","8,200,000,000","7,820,000,000","7,100,000,000","7,580,000,000","7,470,000,000",https://news.uchicago.edu
Cornell University,"10,000,000,000","9,800,000,000","10,000,000,000","7,200,000,000","7,300,000,000","7,200,000,000","6,800,000,000","6,100,000,000","6,037,500,000","6,200,000,000",https://cornellsun.com
Dartmouth University,"7,900,000,000","8,100,000,000","8,500,000,000","6,000,000,000","5,700,000,000","5,500,000,000","4,960,000,000","4,500,000,000","4,660,000,000","4,470,000,000",https://www.dartmouth.edu/investments/endowment/endowment_reports/index.php
Brown University,"6,600,000,000","6,500,000,000","6,900,000,000","4,700,000,000","4,200,000,000","3,800,000,000","3,500,000,000","3,200,000,000","3,300,000,000","3,245,000,000",https://investment.brown.edu/reports
California Institute of Technology,,"3,454,000,000","4,068,000,000","3,122,000,000","2,998,000,000","2,926,000,000","2,655,000,000","2,261,000,000","2,125,000,000","2,138,000,000",https://investments.caltech.edu/reports